keyword,product_name,image,price,brand,maker,product_id,category1,category2,category3,category4,mall_name,api_source,sale_price
침대 프레임,동서가구 이즈 카이 LED조명 수납 침대 프레임 SS,https://shopping-phinf.pstatic.net/main_3252874/32528741618.20220522203401.jpg,"₩138,000",동서가구,동서가구,32528741618,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,메리노 매트리스 깔판 저상형 패밀리 받침대 XS 60cm,https://shopping-phinf.pstatic.net/main_2945482/29454825619.20211029171256.jpg,"₩22,430",메리노,메리노침대,29454825619,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,이투스베딩 매트리스 저상형 침대 깔판 받침대 일반발통 S,https://shopping-phinf.pstatic.net/main_2909679/29096795586.20211004161835.jpg,"₩20,900",이투스베딩,신세기,29096795586,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,레이디가구 모노 빅 슬라이딩 평상형 수납침대 프레임 SS,https://shopping-phinf.pstatic.net/main_3001774/30017744618.20211209160352.jpg,"₩239,000",레이디가구,레이디가구,30017744618,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,"홈앤힐 보헨 템바보드 호텔식 원목 침대 프레임 LK(라지킹), 월넛",https://shopping-phinf.pstatic.net/main_5220336/52203360627.20250104170454.jpg,"₩798,000",홈앤힐,홈앤힐,52203360627,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,레이디가구 코쿤 슬림 저상형침대 데이베드 프레임 SS,https://shopping-phinf.pstatic.net/main_2209624/22096242656.20240513082030.jpg,"₩367,000",레이디가구,레이디가구,22096242656,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,썸앤데코 엘레나 원목 수납형 침대프레임 LK,https://shopping-phinf.pstatic.net/main_4793322/47933222618.20241205135048.jpg,"₩957,600",썸앤데코,썸앤데코,47933222618,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,"파로마 비엘 LED 원목 4서랍 수납 침대프레임 SS(슈퍼싱글), 내추럴",https://shopping-phinf.pstatic.net/main_5218800/52188000634.20241230120954.jpg,"₩193,320",파로마,파로마,52188000634,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,홈앤힐 아루 트윈 저상형 패밀리 침대 프레임 SS + K,https://shopping-phinf.pstatic.net/main_5259370/52593709231.20250121121415.jpg,"₩411,720",홈앤힐,홈앤힐,52593709231,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,알파침대 클레어 LED 2단 수납 슈퍼싱글 침대프레임 SS,https://shopping-phinf.pstatic.net/main_2080138/20801389122.20220524122503.jpg,"₩214,000",알파침대,알파침대,20801389122,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,지누스 1500H 침대 프레임 SS,https://shopping-phinf.pstatic.net/main_1680248/16802484544.20250109140447.jpg,"₩156,660",지누스,지누스,16802484544,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,핀란디아 옹이없는 편백나무 매트리스 깔판 침대 프레임 저상형 패밀리 받침대 MS,https://shopping-phinf.pstatic.net/main_2952194/29521943618.20211124222739.jpg,"₩119,000",핀란디아,핀란디아,29521943618,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,퍼니홈 크로코 템바보드 리프트업 수납 침대 프레임 원목 Q,https://shopping-phinf.pstatic.net/main_5139686/51396866628.20241114115929.jpg,"₩990,000",퍼니홈,미래디자인,51396866628,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,"어반네이처 원목 침대 프레임 SS(슈퍼싱글), 월넛",https://shopping-phinf.pstatic.net/main_5220392/52203924625.20241231110635.jpg,"₩396,000",허밍트리,허밍트리,52203924625,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,바네스데코 로이든 모렌 고무나무 원목 침대 프레임 기본형 SS,https://shopping-phinf.pstatic.net/main_4237205/42372051618.20250115172222.jpg,"₩169,000",바네스데코,브이디코랩,42372051618,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,레이디가구 스칸딕 로맨틱 원목침대 데이베드 DB 가드형 프레임 SS,https://shopping-phinf.pstatic.net/main_3226978/32269780618.20250408122605.jpg,"₩329,000",레이디가구,레이디가구,32269780618,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,"썸앤데코 루디 수납형 원목 LED 조명 침대프레임 LK(라지킹), 미디움브라운",https://shopping-phinf.pstatic.net/main_5252111/52521114325.20250116142752.jpg,"₩1,043,000",썸앤데코,썸앤데코,52521114325,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,리자인가구 침대 프레임 매트리스 깔판 저상형 패밀리 받침대 JS,https://shopping-phinf.pstatic.net/main_1862198/18621982644.20240329141430.jpg,"₩48,000",리자인가구,리자인가구,18621982644,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,지누스 스마트베이스 엘리트 침대 프레임 SS,https://shopping-phinf.pstatic.net/main_1680216/16802167340.20201020111450.jpg,"₩122,340",지누스,지누스,16802167340,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
침대 프레임,스스디 케이브 평상형 슬라이딩 수납 침대 프레임 400 SS,https://shopping-phinf.pstatic.net/main_5111806/51118062619.20241030115339.jpg,"₩232,000",스스디,스스디,51118062619,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버,
매트리스,잠스쿨 떡실신 토퍼매트리스 접이식 침대 바닥 3단 수면매트 8cm MS,https://shopping-phinf.pstatic.net/main_2268058/22680586400.20240910101432.jpg,"₩48,000",잠스쿨,휴먼링스,22680586400,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버,
매트리스,잠스쿨 3단 접이식 매트리스 단단한 토퍼 허리에좋은 침대 바닥 매트 7cm MS,https://shopping-phinf.pstatic.net/main_3522719/35227195618.20250115092547.jpg,"₩139,000",잠스쿨,휴먼링스,35227195618,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버,
