keyword,title,link,image,lprice,hprice,brand,maker,productId,category1,category2,category3,category4,mallName
가구/인테리어,[희망일배송] 고트 수납장 4단 벽선반장 월 캐비닛 인테리어 장식장,https://smartstore.naver.com/main/products/11075687608,https://shopping-phinf.pstatic.net/main_8862019/88620197930.3.jpg,"₩194,000",,레트로하우스,레트로하우스,88620197930,가구/인테리어,수납가구,선반,,레트로 하우스
가구/인테리어,[무인양품] SUS 유닛 선반 세트 (떡갈나무/호두나무/스테인리스),https://smartstore.naver.com/main/products/11039087537,https://shopping-phinf.pstatic.net/main_8858359/88583593744.jpg,"₩399,000",,무인양품,양품계획,88583593744,가구/인테리어,수납가구,선반,,무인양품
가구/인테리어,[레어로우] 시스템000 컴팩트 데스크 04,https://smartstore.naver.com/main/products/6911835636,https://shopping-phinf.pstatic.net/main_8445633/84456335958.jpg,"₩1,412,000",,레어로우,심플라인,84456335958,가구/인테리어,수납가구,선반,,레어로우
가구/인테리어,미드센츄리 선반 미니 모듈선반 400 2단 거실 수납장 협탁,https://smartstore.naver.com/main/products/9479915367,https://shopping-phinf.pstatic.net/main_8702441/87024415690.jpg,"₩56,900",,이케아,,87024415690,가구/인테리어,수납가구,선반,,시선-Secern
가구/인테리어,DIY 모듈 선반 가구 거실 인테리어 미드센츄리 테이블 520 8colors,https://smartstore.naver.com/main/products/6021819518,https://shopping-phinf.pstatic.net/main_8356631/83566319006.jpg,"₩69,000",,더프리그,더프리그,83566319006,가구/인테리어,수납가구,선반,,더프리그
가구/인테리어,아이린 멀바우 원목 나무 무지주 벽걸이 벽 선반 400 콘크리트벽,https://smartstore.naver.com/main/products/2146241443,https://shopping-phinf.pstatic.net/main_1214612/12146120398.1.jpg,"₩23,000",,아이린,아이린,12146120398,가구/인테리어,수납가구,선반,,아이린 인테리어
가구/인테리어,[무인양품] SUS 스테인리스 유닛 선반 기본 세트 S / M / L,https://smartstore.naver.com/main/products/10128411235,https://shopping-phinf.pstatic.net/main_8767291/87672914165.jpg,"₩329,000",,무인양품,양품계획,87672914165,가구/인테리어,수납가구,선반,,무인양품
가구/인테리어,아우스 스테인리스 아크릴 원목 장식장 인테리어 진열장 투명 선반 피규어장 와인장 3단,https://smartstore.naver.com/main/products/10562944712,https://shopping-phinf.pstatic.net/main_8810745/88107450237.1.jpg,"₩61,200",,아우스,,88107450237,가구/인테리어,수납가구,선반,,아우스 공식스토어
가구/인테리어,[무인양품] SUS 호두나무 유닛 선반 와이드 세트 S / M / L,https://smartstore.naver.com/main/products/10534449442,https://shopping-phinf.pstatic.net/main_8807895/88078954878.jpg,"₩399,000",,무인양품,양품계획,88078954878,가구/인테리어,수납가구,선반,,무인양품
가구/인테리어,못없이 아크릴 벽선반 투명 30cm 무타공 인테리어 무지주 꼭꼬핀 벽걸이선반,https://smartstore.naver.com/main/products/8933178006,https://shopping-phinf.pstatic.net/main_8647767/86477678328.4.jpg,"₩8,900",,무타공마켓,,86477678328,가구/인테리어,수납가구,선반,,무타공마켓
가구/인테리어,아트월 무타공 벽선반 다용도 인테리어 소품 정리 수납 벽걸이 거치대 40cm,https://smartstore.naver.com/main/products/5803618838,https://shopping-phinf.pstatic.net/main_8334811/83348118252.2.jpg,"₩15,590",,오케이홈멜,,83348118252,가구/인테리어,수납가구,선반,,오케이홈멜
가구/인테리어,원목 무지주 벽선반 인테리어 나무 벽걸이선반,https://search.shopping.naver.com/catalog/52483336571,https://shopping-phinf.pstatic.net/main_5248333/52483336571.20250114155255.jpg,"₩18,800",,,,52483336571,가구/인테리어,수납가구,선반,,네이버
가구/인테리어,거실 인테리어 사다리 화분 선반 받침대 베란다 멀바우 벽 디자인 원목 너비 336mm,https://smartstore.naver.com/main/products/377122614,https://shopping-phinf.pstatic.net/main_9587400/9587400363.1.jpg,"₩55,800",,그러스커티지,그러스커티지,9587400363,가구/인테리어,수납가구,선반,,N grus cottage
가구/인테리어,얇은 선반 틈새 문뒤 벽 벽선반 좁은 인테리어 책장-나무색 100x10,https://search.shopping.naver.com/catalog/52297089436,https://shopping-phinf.pstatic.net/main_5229708/52297089436.20250401012132.jpg,"₩23,320",,,,52297089436,가구/인테리어,수납가구,선반,,네이버
가구/인테리어,멜리사 인테리어 벽걸이tv 벽선반 (천연나무원목) 애쉬오픈,https://smartstore.naver.com/main/products/359378444,https://shopping-phinf.pstatic.net/main_9363462/9363462494.3.jpg,"₩120,000",,아이린,아이린,9363462494,가구/인테리어,수납가구,선반,,아이린 인테리어
가구/인테리어,고재 빈티지 원목 선반 5종 모음 / 앤틱 인더스트리얼 나무 벽선반 벽걸이 인테리어,https://smartstore.naver.com/main/products/5226518848,https://shopping-phinf.pstatic.net/main_8277104/82771041091.jpg,"₩17,900",,,,82771041091,가구/인테리어,수납가구,선반,,피터의작업실
가구/인테리어,주방미니선반 원목 식탁선반 정리 홈카페 우드 수납 빈티지 앤틱 3단 선반 C400 120,https://smartstore.naver.com/main/products/5796130110,https://shopping-phinf.pstatic.net/main_8334062/83340629524.7.jpg,"₩36,000",,,이스플리,83340629524,가구/인테리어,수납가구,선반,,이스플리
가구/인테리어,무지주 선반 오크 400mm,https://smartstore.naver.com/main/products/4679108332,https://shopping-phinf.pstatic.net/main_8222362/82223629050.4.jpg,"₩10,880",,,,82223629050,가구/인테리어,수납가구,선반,,아이비스토어샵
가구/인테리어,핀란디아 엘라인 스탠딩 인테리어 북선반,https://search.shopping.naver.com/catalog/39630541513,https://shopping-phinf.pstatic.net/main_3963054/39630541513.20240915073103.jpg,"₩58,103",,핀란디아,,39630541513,가구/인테리어,수납가구,선반,,네이버
가구/인테리어,원목 DIY 일자선반 인테리어 벽선반,https://smartstore.naver.com/main/products/666197578,https://shopping-phinf.pstatic.net/main_1110278/11102780450.4.jpg,"₩6,800",,나무다움,,11102780450,가구/인테리어,수납가구,선반,,나무다움 가구
가구/인테리어,벽선반 스텐선반 4020 미니 주방 홈 카페 스테인레스 벽걸이 선반,https://smartstore.naver.com/main/products/8972502707,https://shopping-phinf.pstatic.net/main_8651700/86517003030.jpg,"₩57,000",,,,86517003030,가구/인테리어,수납가구,선반,,인테리어엉클
가구/인테리어,미드센츄리 선반 와이어 크롬 모듈 선반 사각 큐브 인테리어 LP 진열장 선반 파이프 350,https://smartstore.naver.com/main/products/11434629898,https://shopping-phinf.pstatic.net/main_8897914/88979140263.jpg,"₩49,800",,동영나이스,동영나이스,88979140263,가구/인테리어,수납가구,선반,,이케아와 오늘보다나은집
