keyword,product_name,image,price,brand,maker,product_id,category1,category2,category3,category4,mall_name,api_source
침대 프레임,"어반네이처 원목 침대 프레임 SS(슈퍼싱글), 월넛",https://shopping-phinf.pstatic.net/main_5220392/52203924625.20241231110635.jpg,"₩396,000",허밍트리,허밍트리,52203924625,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버
침대 프레임,바네스데코 로이든 모렌 고무나무 원목 침대 프레임 기본형 SS,https://shopping-phinf.pstatic.net/main_4237205/42372051618.20250115172222.jpg,"₩169,000",바네스데코,브이디코랩,42372051618,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버
침대 프레임,레이디가구 스칸딕 로맨틱 원목침대 데이베드 DB 가드형 프레임 SS,https://shopping-phinf.pstatic.net/main_3226978/32269780618.20250408122605.jpg,"₩329,000",레이디가구,레이디가구,32269780618,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버
침대 프레임,"썸앤데코 루디 수납형 원목 LED 조명 침대프레임 LK(라지킹), 미디움브라운",https://shopping-phinf.pstatic.net/main_5252111/52521114325.20250116142752.jpg,"₩1,043,000",썸앤데코,썸앤데코,52521114325,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버
침대 프레임,리자인가구 침대 프레임 매트리스 깔판 저상형 패밀리 받침대 JS,https://shopping-phinf.pstatic.net/main_1862198/18621982644.20240329141430.jpg,"₩48,000",리자인가구,리자인가구,18621982644,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버
침대 프레임,지누스 스마트베이스 엘리트 침대 프레임 SS,https://shopping-phinf.pstatic.net/main_1680216/16802167340.20201020111450.jpg,"₩122,340",지누스,지누스,16802167340,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버
침대 프레임,스스디 케이브 평상형 슬라이딩 수납 침대 프레임 400 SS,https://shopping-phinf.pstatic.net/main_5111806/51118062619.20241030115339.jpg,"₩232,000",스스디,스스디,51118062619,가구/인테리어,침실가구,침대,침대프레임,네이버,네이버
매트리스,잠스쿨 떡실신 토퍼매트리스 접이식 침대 바닥 3단 수면매트 8cm MS,https://shopping-phinf.pstatic.net/main_2268058/22680586400.20240910101432.jpg,"₩48,000",잠스쿨,휴먼링스,22680586400,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,잠스쿨 3단 접이식 매트리스 단단한 토퍼 허리에좋은 침대 바닥 매트 7cm MS,https://shopping-phinf.pstatic.net/main_3522719/35227195618.20250115092547.jpg,"₩139,000",잠스쿨,휴먼링스,35227195618,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,레이브 탄탄한 토퍼매트리스 접이식 침대 바닥 3단 수면매트 8cm MS,https://shopping-phinf.pstatic.net/main_3904805/39048051945.20230609095837.jpg,"₩139,000",레이브,제이제이코,39048051945,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,에이스침대 CA 원매트리스 SS,https://shopping-phinf.pstatic.net/main_4087938/4087938640.20240712182619.jpg,"₩398,520",에이스침대,에이스침대,4087938640,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,수니홈 탄탄한 허리에 좋은 매트리스 3단 접이식 토퍼 바닥 수면매트 7cm MS,https://shopping-phinf.pstatic.net/main_3918091/39180910620.20240910101503.jpg,"₩139,000",수니홈,수니홈,39180910620,가구/인테리어,침실가구,매트리스,싱글매트리스,네이버,네이버
매트리스,에이스침대 CA2 원매트리스 SS,https://shopping-phinf.pstatic.net/main_4087941/4087941370.20240712183548.jpg,"₩520,830",에이스침대,에이스침대,4087941370,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,시몬스 뷰티레스트 스위트 매트리스 SS,https://shopping-phinf.pstatic.net/main_1090805/10908057254.20240723114252.jpg,"₩761,600",시몬스,시몬스,10908057254,가구/인테리어,침실가구,매트리스,슈퍼싱글매트리스,네이버,네이버
매트리스,에이스침대 CA 원매트리스 LQ,https://shopping-phinf.pstatic.net/main_4087938/4087938847.20240722155919.jpg,"₩509,520",에이스침대,에이스침대,4087938847,가구/인테리어,침실가구,매트리스,퀸매트리스,네이버,네이버
